"p", "q", "ic"            , "step", "run_id", "original_simulation_index", "ic_used", "dist_used", "link_used", "max_p_run_setting", "max_q_run_setting"
  2,   2, 5763.06427118963,      1, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  0,   0, 6678.16735783415,      2, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  1,   0, 5791.79352777822,      3, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  0,   1, 6680.15415819637,      4, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  1,   2, 5762.36491904902,      5, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  0,   2, 6682.14195149718,      6, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  1,   3, 5750.87026530545,      7, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  0,   3, 6684.13074512893,      8, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  1,   4, 5732.62713278967,      9, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  0,   4, 6686.12051720469,     10, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  1,   5, 5734.03093106134,     11, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  0,   5, 6688.11126658428,     12, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  2,   3, 5770.94903674011,     13, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  2,   5, 5735.5806750133 ,     14, "1"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   5,                   5
  2,   2, 5763.06427118963,      1, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  0,   0, 6678.16735783415,      2, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  1,   0, 5791.79352777822,      3, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  0,   1, 6680.15415819637,      4, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  1,   2, 5762.36491904902,      5, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  0,   2, 6682.14195149718,      6, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  1,   3, 5750.87026530545,      7, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  0,   3, 6684.13074512893,      8, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  1,   4, 5732.62713278967,      9, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  0,   4, 6686.12051720469,     10, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  1,   5, 5734.03093106134,     11, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  0,   5, 6688.11126658428,     12, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  2,   3, 5770.94903674011,     13, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  2,   5, 5735.5806750133 ,     14, "2"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   7
  2,   2, 5763.06427118963,      1, "3"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   4
  0,   0, 6678.16735783415,      2, "3"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   4
  1,   0, 5791.79352777822,      3, "3"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   4
  0,   1, 6680.15415819637,      4, "3"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   4
  1,   2, 5762.36491904902,      5, "3"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   4
  0,   2, 6682.14195149718,      6, "3"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   4
  1,   3, 5750.87026530545,      7, "3"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   4
  0,   3, 6684.13074512893,      8, "3"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   4
  1,   4, 5732.62713278967,      9, "3"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   4
  0,   4, 6686.12051720469,     10, "3"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   4
  2,   3, 5770.94903674011,     11, "3"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   7,                   4
  2,   2, 5763.06427118963,      1, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  0,   0, 6678.16735783415,      2, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  1,   0, 5791.79352777822,      3, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  0,   1, 6680.15415819637,      4, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  1,   2, 5762.36491904902,      5, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  0,   2, 6682.14195149718,      6, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  1,   3, 5750.87026530545,      7, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  0,   3, 6684.13074512893,      8, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  1,   4, 5732.62713278967,      9, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  0,   4, 6686.12051720469,     10, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  1,   5, 5734.03093106134,     11, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  0,   5, 6688.11126658428,     12, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  2,   3, 5770.94903674011,     13, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
  2,   5, 5735.5806750133 ,     14, "4"     ,                           1, "aic"    , "nbinom"   , "log"      ,                   4,                   7
