"method","p_order","q_order","count","freq"
"grid_search",1,7,256,25.6
"grid_search",1,6,231,23.1
"grid_search",1,5,134,13.4
"grid_search",2,6,68,6.8
"grid_search",2,7,47,4.7
"grid_search",3,6,20,2
"grid_search",4,6,19,1.9
"grid_search",3,7,16,1.6
"grid_search",2,5,13,1.3
"grid_search",4,7,13,1.3
"grid_search",6,1,13,1.3
"grid_search",6,6,13,1.3
"grid_search",2,1,11,1.1
"grid_search",5,6,11,1.1
"grid_search",1,4,10,1
"grid_search",1,3,9,0.9
"grid_search",5,7,9,0.9
"grid_search",7,0,9,0.9
"grid_search",1,1,8,0.8
"grid_search",3,5,7,0.7
"grid_search",5,1,7,0.7
"grid_search",5,5,7,0.7
"grid_search",7,6,7,0.7
"grid_search",1,2,6,0.6
"grid_search",4,5,6,0.6
"grid_search",6,5,6,0.6
"grid_search",7,5,6,0.6
"grid_search",3,1,5,0.5
"grid_search",6,7,5,0.5
"grid_search",7,1,4,0.4
"grid_search",7,2,4,0.4
"grid_search",2,3,3,0.3
"grid_search",2,4,3,0.3
"grid_search",7,7,3,0.3
"grid_search",3,3,2,0.2
"grid_search",4,1,2,0.2
"grid_search",5,2,2,0.2
"grid_search",2,2,1,0.1
"grid_search",3,2,1,0.1
"grid_search",4,2,1,0.1
"grid_search",4,3,1,0.1
"grid_search",5,4,1,0.1
"stepwise",1,1,230,23
"stepwise",1,3,140,14
"stepwise",1,2,100,10
"stepwise",2,1,96,9.6
"stepwise",2,2,59,5.9
"stepwise",2,3,56,5.6
"stepwise",1,4,51,5.1
"stepwise",3,1,48,4.8
"stepwise",1,5,32,3.2
"stepwise",3,3,31,3.1
"stepwise",2,4,24,2.4
"stepwise",1,6,17,1.7
"stepwise",3,2,16,1.6
"stepwise",7,0,15,1.5
"stepwise",4,1,14,1.4
"stepwise",3,0,7,0.7
"stepwise",3,4,7,0.7
"stepwise",1,7,6,0.6
"stepwise",4,0,6,0.6
"stepwise",5,0,6,0.6
"stepwise",5,1,5,0.5
"stepwise",2,5,4,0.4
"stepwise",2,7,4,0.4
"stepwise",4,3,4,0.4
"stepwise",2,6,3,0.3
"stepwise",3,6,3,0.3
"stepwise",4,2,3,0.3
"stepwise",6,1,3,0.3
"stepwise",2,0,2,0.2
"stepwise",4,4,2,0.2
"stepwise",3,5,1,0.1
"stepwise",4,5,1,0.1
"stepwise",4,7,1,0.1
"stepwise",5,4,1,0.1
"stepwise",6,0,1,0.1
"stepwise",6,2,1,0.1
