"method","p","q","count","freq"
"grid_search",1,4,200,20
"grid_search",1,5,136,13.6
"grid_search",1,6,27,2.7
"grid_search",1,7,13,1.3
"grid_search",2,3,1,0.1
"grid_search",2,4,49,4.9
"grid_search",2,5,30,3
"grid_search",2,6,30,3
"grid_search",2,7,9,0.9
"grid_search",3,4,40,4
"grid_search",3,5,16,1.6
"grid_search",3,6,18,1.8
"grid_search",3,7,16,1.6
"grid_search",4,4,47,4.7
"grid_search",4,5,21,2.1
"grid_search",4,6,17,1.7
"grid_search",4,7,29,2.9
"grid_search",5,1,3,0.3
"grid_search",5,2,13,1.3
"grid_search",5,3,2,0.2
"grid_search",5,4,21,2.1
"grid_search",5,5,23,2.3
"grid_search",5,6,27,2.7
"grid_search",5,7,26,2.6
"grid_search",6,0,17,1.7
"grid_search",6,2,8,0.8
"grid_search",6,3,6,0.6
"grid_search",6,4,6,0.6
"grid_search",6,5,22,2.2
"grid_search",6,6,13,1.3
"grid_search",6,7,27,2.7
"grid_search",7,0,6,0.6
"grid_search",7,1,8,0.8
"grid_search",7,2,12,1.2
"grid_search",7,3,10,1
"grid_search",7,4,16,1.6
"grid_search",7,5,13,1.3
"grid_search",7,6,14,1.4
"grid_search",7,7,8,0.8
"stepwise",1,1,21,2.1
"stepwise",1,2,27,2.7
"stepwise",1,3,1,0.1
"stepwise",1,4,357,35.7
"stepwise",1,5,289,28.9
"stepwise",1,6,66,6.6
"stepwise",1,7,16,1.6
"stepwise",2,0,39,3.9
"stepwise",2,1,4,0.4
"stepwise",2,2,10,1
"stepwise",2,3,6,0.6
"stepwise",2,4,50,5
"stepwise",2,5,37,3.7
"stepwise",2,6,39,3.9
"stepwise",2,7,5,0.5
"stepwise",3,1,1,0.1
"stepwise",3,2,4,0.4
"stepwise",3,4,15,1.5
"stepwise",3,5,4,0.4
"stepwise",3,6,1,0.1
"stepwise",3,7,3,0.3
"stepwise",4,2,1,0.1
"stepwise",4,4,2,0.2
"stepwise",4,6,1,0.1
"stepwise",5,4,1,0.1
