"method","p","q","count","freq"
"grid_search",1,7,255,25.5
"grid_search",1,6,221,22.1
"grid_search",1,5,145,14.5
"grid_search",2,6,67,6.7
"grid_search",2,7,49,4.9
"grid_search",3,6,20,2
"grid_search",3,7,20,2
"grid_search",4,6,17,1.7
"grid_search",6,1,13,1.3
"grid_search",1,4,12,1.2
"grid_search",5,6,12,1.2
"grid_search",6,6,12,1.2
"grid_search",1,3,11,1.1
"grid_search",2,1,11,1.1
"grid_search",2,5,11,1.1
"grid_search",7,0,11,1.1
"grid_search",4,7,10,1
"grid_search",5,7,10,1
"grid_search",1,1,7,0.7
"grid_search",3,1,7,0.7
"grid_search",5,5,7,0.7
"grid_search",1,2,6,0.6
"grid_search",5,1,6,0.6
"grid_search",6,5,6,0.6
"grid_search",6,7,6,0.6
"grid_search",7,6,6,0.6
"grid_search",3,5,5,0.5
"grid_search",4,5,5,0.5
"grid_search",7,5,5,0.5
"grid_search",4,1,4,0.4
"grid_search",7,2,4,0.4
"grid_search",2,3,3,0.3
"grid_search",2,4,3,0.3
"grid_search",7,1,3,0.3
"grid_search",7,7,3,0.3
"grid_search",3,3,2,0.2
"grid_search",2,2,1,0.1
"grid_search",3,2,1,0.1
"grid_search",4,2,1,0.1
"grid_search",4,3,1,0.1
"grid_search",5,2,1,0.1
"stepwise",1,3,191,19.1
"stepwise",1,2,112,11.2
"stepwise",1,1,107,10.7
"stepwise",2,3,105,10.5
"stepwise",1,4,93,9.3
"stepwise",2,2,76,7.6
"stepwise",1,5,63,6.3
"stepwise",2,4,41,4.1
"stepwise",1,6,35,3.5
"stepwise",2,1,35,3.5
"stepwise",3,1,24,2.4
"stepwise",1,7,18,1.8
"stepwise",3,3,17,1.7
"stepwise",2,0,12,1.2
"stepwise",4,0,10,1
"stepwise",2,5,9,0.9
"stepwise",3,2,9,0.9
"stepwise",3,4,8,0.8
"stepwise",2,6,5,0.5
"stepwise",2,7,5,0.5
"stepwise",3,0,4,0.4
"stepwise",3,6,3,0.3
"stepwise",4,1,3,0.3
"stepwise",4,2,3,0.3
"stepwise",5,1,3,0.3
"stepwise",3,5,2,0.2
"stepwise",7,2,2,0.2
"stepwise",3,7,1,0.1
"stepwise",4,3,1,0.1
"stepwise",4,4,1,0.1
"stepwise",5,2,1,0.1
"stepwise",7,1,1,0.1
