"method","sim_id","p_order","q_order","time","n_models_tested","aic","bic","intercept","sigmasq","beta1","beta2","beta3","beta4","beta5","beta6","beta7","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","mean.Temp.Lag5","mean.DTemp.Lag0","PM25.Lag0","mean.NO2.Lag2","status","error_message"
"stepwise",1,1,0,5.48712611198425,7,344.46374987193,357.847910909927,2.38581458143126,0.0357885945807168,0.296435341869848,,,,,,,,,,,,,,-0.00921811604239443,0.00817629414193308,0.00834940582852666,0.0115359883956849,"Success",""
"stepwise",2,0,0,16.9780220985413,5,303.731097489698,315.203235522267,21.3305897046792,0.0366135122042873,,,,,,,,,,,,,,,-0.0624349082835906,-0.00506592885416285,0.0121707170164985,0.0116309650542363,"Success",""
"stepwise",3,1,0,13.2341170310974,7,338.596482949436,351.980643987433,3.71849649578893,0.036027933741118,0.226084156772223,,,,,,,,,,,,,,-0.000619712944282819,-0.00425018473984965,0.00383341721026152,0.00346306963183317,"Success",""
"stepwise",4,0,0,4.48227715492249,5,341.428005565746,352.900143598315,-1.98161606818179,0.0262969414543691,,,,,,,,,,,,,,,0.00143857674045591,0.0179535821815577,-0.0245430821090531,0.016331903548064,"Success",""
"stepwise",5,2,1,16.0365688800812,11,336.550799618407,353.759006667261,2.43760171485779,0.021567814458472,0.298667314503133,0.460365705820137,,,,,,-0.322708328114356,,,,,,,0.0078899845878605,-0.0100822075559388,-0.00148507679643247,0.0106787578678116,"Success",""
"grid_search",1,1,0,24.6451840400696,21,344.46374987193,357.847910909927,2.38581458143126,0.0357885945807168,0.296435341869848,,,,,,,,,,,,,,-0.00921811604239443,0.00817629414193308,0.00834940582852666,0.0115359883956849,"Success",""
"grid_search",2,0,0,64.2135698795319,21,303.731097489698,315.203235522267,21.3305897046792,0.0366135122042873,,,,,,,,,,,,,,,-0.0624349082835906,-0.00506592885416285,0.0121707170164985,0.0116309650542363,"Success",""
"grid_search",3,1,0,51.507266998291,21,338.596482949436,351.980643987433,3.71849649578893,0.036027933741118,0.226084156772223,,,,,,,,,,,,,,-0.000619712944282819,-0.00425018473984965,0.00383341721026152,0.00346306963183317,"Success",""
"grid_search",4,0,0,37.6533069610596,21,341.428005565746,352.900143598315,-1.98161606818179,0.0262969414543691,,,,,,,,,,,,,,,0.00143857674045591,0.0179535821815577,-0.0245430821090531,0.016331903548064,"Success",""
"grid_search",5,2,1,33.9246199131012,21,336.550799618407,353.759006667261,2.43760171485779,0.021567814458472,0.298667314503133,0.460365705820137,,,,,,-0.322708328114356,,,,,,,0.0078899845878605,-0.0100822075559388,-0.00148507679643247,0.0106787578678116,"Success",""
